ID,age_upon_outcome,breed,color,date_of_birth,coat_pattern,name,outcome_type,sex_upon_outcome,sex
283,2 months,domestic shorthair,black,03/09/2013 00:00,,,Euthanasia,Intact Female,Female
284,4 weeks,domestic shorthair,blue,16/06/2014 00:00,tabby,,Transfer,Intact Male,Male
285,3 months,domestic shorthair,,10/10/2013 00:00,torbie,*Treasure,Adoption,Spayed Female,Female
286,2 years,domestic shorthair,,31/12/2011 00:00,calico,,Transfer,Spayed Female,Female
287,3 weeks,domestic shorthair,orange/white,08/08/2014 00:00,,,Transfer,Intact Male,Male
288,6 months,domestic shorthair,brown,01/03/2014 00:00,tabby,,Adoption,Neutered Male,Male
289,2 months,domestic shorthair,brown /white,01/09/2014 00:00,tabby,*Zander,Transfer,Intact Male,Male
290,2 years,domestic shorthair,black,08/12/2011 00:00,,*Suzanne,Adoption,Spayed Female,Female
291,2 months,domestic shorthair,,07/04/2014 00:00,torbie,,Adoption,Spayed Female,Female
292,1 month,domestic shorthair,brown,06/07/2014 00:00,tabby,*Larkspur,Adoption,Neutered Male,Male
293,3 years,domestic shorthair,white,26/01/2011 00:00,,,Transfer,Neutered Male,Male
294,1 month,domestic shorthair,,01/07/2014 00:00,tortie,*Ryan,Transfer,Intact Female,Female
295,3 weeks,domestic shorthair,brown,28/09/2013 00:00,tabby,,Transfer,Intact Male,Male
296,1 year,domestic shorthair,black/white,21/05/2013 00:00,,,Transfer,Unknown,Female
297,3 weeks,domestic shorthair,brown,28/09/2013 00:00,tabby,,Transfer,Intact Female,Female
298,1 year,domestic shorthair,,20/01/2013 00:00,calico,Daisy,Transfer,Spayed Female,Female
299,1 year,domestic shorthair,blue /white,06/08/2013 00:00,tabby,,Transfer,Unknown,Female
300,2 months,domestic shorthair,blue,06/08/2014 00:00,,*Nigel,Adoption,Neutered Male,Male
301,1 year,domestic shorthair,brown /white,22/04/2013 00:00,tabby,*Biskit,Transfer,Spayed Female,Female
302,3 months,domestic shorthair,orange /white,29/07/2013 00:00,tabby,*Tom,Adoption,Neutered Male,Male
303,4 years,domestic shorthair,black/white,07/08/2010 00:00,,Willie,Return to Owner,Neutered Male,Male
304,3 weeks,domestic mediumhair,blue,08/04/2014 00:00,tabby,,Transfer,Intact Female,Female
305,5 months,domestic shorthair,flame,07/07/2013 00:00,point,Moe,Adoption,Neutered Male,Male
306,2 months,domestic shorthair,blue/white,22/04/2014 00:00,,Boomer,Transfer,Intact Male,Male
307,8 months,domestic shorthair,,18/03/2014 00:00,torbie,,Transfer,Intact Female,Female
308,13 years,domestic shorthair,orange,26/05/2001 00:00,tabby,Genevieve,Transfer,Intact Female,Female
309,7 months,siamese,lilac,13/02/2014 00:00,point,,Transfer,Intact Male,Male
310,2 months,domestic mediumhair,blue/white,07/07/2014 00:00,,*Mundy,Adoption,Neutered Male,Male
311,5 months,domestic shorthair,black,23/12/2013 00:00,,Baby,Euthanasia,Intact Female,Female
312,1 week,domestic shorthair,,02/04/2014 00:00,tortie,,Transfer,Intact Female,Female
313,4 months,domestic shorthair,orange /white,18/04/2014 00:00,tabby,,Transfer,Intact Male,Male
314,1 week,domestic shorthair,,02/09/2014 00:00,calico,,Transfer,Intact Female,Female
315,2 months,domestic shorthair,blue,08/03/2014 00:00,,,Died,Intact Female,Female
316,4 years,manx,cream,12/10/2010 00:00,tabby,Solo,Return to Owner,Neutered Male,Male
317,4 weeks,siamese,lynx,24/03/2014 00:00,point,*Arwen,Transfer,Intact Female,Female
318,2 months,domestic shorthair,orange,15/03/2014 00:00,tabby,*Barbara,Adoption,Intact Female,Female
319,1 month,domestic shorthair,orange,19/05/2014 00:00,tabby,*Bobby,Transfer,Intact Male,Male
320,2 weeks,domestic shorthair,black,20/06/2014 00:00,,,Transfer,Intact Female,Female
321,3 months,domestic shorthair,orange,17/04/2014 00:00,tabby,,Transfer,Unknown,Female
322,2 months,domestic shorthair,brown /white,22/07/2014 00:00,tabby,*Heath,Adoption,Neutered Male,Male
323,2 months,domestic shorthair,,26/04/2014 00:00,tortie,*Seven,Adoption,Spayed Female,Female
324,1 month,domestic mediumhair,blue /white,06/06/2014 00:00,tabby,,Transfer,Intact Male,Male
325,1 year,siamese,seal,27/03/2013 00:00,point,Sy,Adoption,Neutered Male,Male
326,1 day,domestic shorthair,,05/10/2013 00:00,tortie,,Transfer,Intact Female,Female
327,8 months,domestic shorthair,blue,04/03/2014 00:00,,,Transfer,Unknown,Female
328,1 year,domestic shorthair,black,12/10/2013 00:00,smoke,,Transfer,Intact Male,Male
329,9 years,domestic shorthair,,09/02/2005 00:00,tortie,*Goldie,Transfer,Spayed Female,Female
330,3 months,domestic shorthair,black,19/05/2014 00:00,,,Euthanasia,Intact Female,Female
331,2 years,domestic longhair,blue/white,03/12/2011 00:00,,Binx,Transfer,Spayed Female,Female
332,5 years,domestic shorthair,,13/04/2009 00:00,calico,Kylie,Transfer,Spayed Female,Female
333,2 years,domestic shorthair,brown /white,19/03/2012 00:00,tabby,Jazzper,Return to Owner,Intact Female,Female
334,2 weeks,domestic shorthair,orange,29/08/2014 00:00,tabby,,Transfer,Intact Male,Male
335,1 month,domestic shorthair,black,28/08/2014 00:00,,,Euthanasia,Intact Female,Female
336,4 years,siamese,seal,09/11/2010 00:00,point,George,Transfer,Neutered Male,Male
337,2 years,domestic shorthair,blue,28/06/2012 00:00,tabby,,Transfer,Intact Male,Male
338,2 weeks,domestic shorthair,black,27/02/2014 00:00,,,Transfer,Intact Male,Male
339,2 weeks,domestic mediumhair,,08/04/2014 00:00,tortie,,Transfer,Intact Female,Female
340,1 year,domestic shorthair,brown /white,08/07/2013 00:00,tabby,*Lucas,Transfer,Neutered Male,Male
341,2 months,domestic shorthair,blue,27/08/2014 00:00,tabby,,Adoption,Spayed Female,Female
342,10 years,domestic shorthair,brown,01/01/2004 00:00,tabby,Felix,Adoption,Neutered Male,Male
343,2 months,domestic shorthair,brown /white,17/08/2013 00:00,tabby,Petunia,Adoption,Spayed Female,Female
344,1 week,domestic shorthair,orange,30/08/2014 00:00,tabby,,Transfer,Intact Male,Male
345,1 month,domestic shorthair,brown /white,05/10/2014 00:00,tabby,*Philippe,Euthanasia,Intact Male,Male
346,5 months,domestic shorthair,brown,10/04/2014 00:00,tabby,Garbage,Adoption,Neutered Male,Male
347,1 year,domestic shorthair,,12/09/2013 00:00,calico,Isis,Transfer,Intact Female,Female
348,3 months,domestic shorthair,black,26/03/2014 00:00,,,Adoption,Neutered Male,Male
349,4 months,domestic shorthair,brown /white,07/04/2014 00:00,tabby,Mouse,Transfer,Spayed Female,Female
350,2 months,domestic shorthair,orange,30/10/2013 00:00,tabby,Ginger Peace,Adoption,Spayed Female,Female
351,5 days,domestic shorthair,white/blue,03/09/2014 00:00,,,Transfer,Unknown,Female
352,1 month,domestic shorthair,blue,04/05/2014 00:00,,*Walt,Transfer,Intact Male,Male
353,7 years,domestic longhair,,04/10/2006 00:00,tortie,*Flower,Adoption,Spayed Female,Female
354,2 years,domestic shorthair,white/brown,19/10/2011 00:00,tabby,Bella,Adoption,Spayed Female,Female
355,6 years,domestic shorthair,white/brown,13/10/2007 00:00,tabby,Macintosh,Adoption,Neutered Male,Male
356,2 months,domestic shorthair,white/black,13/09/2013 00:00,,*Darwin,Adoption,Neutered Male,Male
357,2 months,domestic shorthair,,24/10/2013 00:00,torbie,*Minnie,Adoption,Intact Female,Female
358,2 months,domestic shorthair,black/white,27/08/2014 00:00,,*Leroy,Adoption,Neutered Male,Male
359,2 weeks,domestic shorthair,brown,08/07/2014 00:00,tabby,,Transfer,Intact Female,Female
360,3 months,domestic shorthair,cream,12/04/2014 00:00,tabby,,Adoption,Neutered Male,Male
361,3 weeks,domestic shorthair,orange /white,30/09/2014 00:00,tabby,,Transfer,Intact Male,Male
362,1 weeks,domestic shorthair,brown,14/08/2014 00:00,tabby,,Transfer,Intact Female,Female
363,2 weeks,domestic shorthair,orange,24/08/2014 00:00,tabby,,Transfer,Intact Male,Male
364,3 weeks,domestic shorthair,brown,14/06/2014 00:00,tabby,,Transfer,Intact Female,Female
365,1 year,domestic shorthair,black,26/02/2013 00:00,,,Transfer,Unknown,Female
366,4 years,domestic shorthair,brown,27/06/2010 00:00,tabby,Crybaby,Adoption,Neutered Male,Male
367,2 months,domestic shorthair,white/orange,22/04/2014 00:00,tabby,Skittles,Adoption,Neutered Male,Male
368,3 months,domestic shorthair,black/white,29/03/2014 00:00,,,Adoption,Spayed Female,Female
369,3 weeks,domestic shorthair,cream,21/11/2014 00:00,,,Transfer,Intact Male,Male
370,1 year,domestic shorthair,brown /white,12/05/2012 00:00,tabby,,Return to Owner,Spayed Female,Female
371,2 years,domestic shorthair,blue,02/07/2012 00:00,tabby,Tica,Return to Owner,Spayed Female,Female
372,3 weeks,domestic shorthair,black/white,07/08/2014 00:00,,,Transfer,Intact Male,Male
373,2 months,domestic shorthair,orange,05/10/2013 00:00,tabby,Prof Butters,Adoption,Intact Female,Female
374,2 months,domestic shorthair,brown /white,16/08/2013 00:00,tabby,*Trey,Adoption,Neutered Male,Male
375,1 weeks,domestic shorthair,buff,25/04/2014 00:00,,,Transfer,Intact Male,Male
376,1 year,domestic shorthair,black/white,23/12/2012 00:00,,,Transfer,Intact Male,Male
377,3 years,domestic shorthair,blue,01/01/2011 00:00,,,Euthanasia,Intact Male,Male
378,3 months,domestic shorthair,brown,15/04/2014 00:00,tabby,Scout,Adoption,Spayed Female,Female
379,4 weeks,domestic shorthair,brown,26/09/2013 00:00,tabby,*June,Transfer,Intact Female,Female
380,8 months,domestic shorthair,brown,24/05/2013 00:00,tabby,,Transfer,Unknown,Female
381,3 months,domestic shorthair,white/black,06/07/2013 00:00,,,Transfer,Neutered Male,Male
382,2 months,domestic shorthair,black/white,24/04/2014 00:00,,,Transfer,Neutered Male,Male
383,3 years,domestic shorthair,black,04/11/2011 00:00,,Ash,Transfer,Neutered Male,Male
384,3 months,domestic shorthair,black/white,07/09/2014 00:00,,*Izzy,Died,Intact Female,Female
385,1 year,domestic shorthair,blue,25/08/2013 00:00,tabby,*Pudding,Adoption,Spayed Female,Female
386,2 months,domestic longhair,white/black,12/10/2013 00:00,,Stephanie,Adoption,Spayed Female,Female
387,1 month,domestic shorthair,orange /white,28/05/2014 00:00,tabby,,Transfer,Intact Male,Male
388,4 months,domestic shorthair,,29/01/2014 00:00,tortie,*Chloe,Adoption,Spayed Female,Female
389,2 months,domestic shorthair,black,18/07/2013 00:00,,*Indigo,Adoption,Spayed Female,Female
390,1 month,domestic mediumhair,blue,30/08/2013 00:00,tabby,*Arnold,Transfer,Intact Male,Male
391,1 month,domestic shorthair,black,17/10/2014 00:00,,*Bastet,Died,Intact Male,Male
392,6 years,domestic longhair,brown,07/02/2008 00:00,tabby,,Transfer,Intact Male,Male
393,1 week,domestic shorthair,,30/07/2014 00:00,calico,,Transfer,Intact Female,Female
394,2 years,domestic shorthair,blue /black,31/05/2012 00:00,tabby,,Euthanasia,Intact Male,Male
395,2 months,domestic shorthair,white/blue,26/05/2014 00:00,,,Adoption,Spayed Female,Female
396,2 months,domestic shorthair,black,27/08/2014 00:00,,*Benny,Adoption,Spayed Female,Female
397,6 years,russian blue,blue,25/01/2008 00:00,,Smokey,Transfer,Spayed Female,Female
398,4 months,domestic shorthair,blue,22/12/2013 00:00,tabby,Gracie,Adoption,Spayed Female,Female
399,2 months,domestic shorthair,black,28/03/2014 00:00,,Ethel,Adoption,Spayed Female,Female
400,4 months,domestic shorthair,brown /white,17/08/2013 00:00,tabby,,Transfer,Unknown,Female
401,5 months,domestic shorthair,orange /white,07/04/2014 00:00,tabby,*Marco,Adoption,Neutered Male,Male
402,2 weeks,domestic shorthair,brown,01/03/2014 00:00,tabby,,Transfer,Intact Male,Male
403,2 years,angora,white,15/05/2012 00:00,,Chrissy,Transfer,Intact Female,Female
404,1 month,domestic shorthair,brown,21/05/2014 00:00,tabby,Chiquita,Adoption,Spayed Female,Female
405,1 year,domestic shorthair,black/white,11/07/2012 00:00,,Sofie,Return to Owner,Spayed Female,Female
406,2 months,domestic shorthair,orange /white,04/06/2014 00:00,tabby,,Adoption,Neutered Male,Male
407,3 weeks,domestic shorthair,blue/white,18/08/2014 00:00,,,Transfer,Intact Male,Male
408,8 months,domestic shorthair,black/white,10/11/2013 00:00,,Frida,Adoption,Spayed Female,Female
409,2 months,domestic mediumhair,black/white,21/04/2014 00:00,,Izzy,Adoption,Intact Female,Female
410,3 weeks,domestic shorthair,brown /white,18/04/2014 00:00,tabby,,Transfer,Intact Female,Female
411,4 years,domestic shorthair,/blue cream,18/04/2010 00:00,tortie,Rosie,Adoption,Spayed Female,Female
412,2 months,domestic shorthair,orange,03/05/2014 00:00,tabby,*Starburst,Transfer,Intact Female,Female
413,3 days,domestic shorthair,blue cream,22/01/2014 00:00,,,Euthanasia,Intact Male,Male
414,9 years,domestic shorthair,black,18/01/2004 00:00,,Reece,Transfer,Neutered Male,Male
415,3 days,domestic shorthair,black,31/03/2014 00:00,tabby,,Transfer,Intact Female,Female
416,2 months,domestic shorthair,brown,16/07/2013 00:00,tabby,Tornado,Transfer,Neutered Male,Male
417,1 month,domestic shorthair,blue,12/04/2014 00:00,,,Adoption,Neutered Male,Male
418,6 years,domestic shorthair,brown /white,14/06/2008 00:00,tabby,*Scarlet,Adoption,Spayed Female,Female
419,1 year,domestic shorthair,brown,08/07/2013 00:00,tabby,X,Transfer,Neutered Male,Male
420,1 year,domestic shorthair,brown,25/03/2013 00:00,tabby,Garden,Return to Owner,Spayed Female,Female
421,4 months,domestic shorthair,black/white,08/05/2014 00:00,,,Transfer,Intact Male,Male
422,7 years,domestic shorthair,brown,22/10/2006 00:00,tabby,Leia,Transfer,Spayed Female,Female
423,1 month,domestic shorthair,blue,10/08/2013 00:00,,Stanley,Adoption,Neutered Male,Male
424,8 months,domestic shorthair,black/white,02/03/2014 00:00,,,Euthanasia,Intact Female,Female
425,3 months,domestic shorthair,brown,23/05/2014 00:00,tabby,,Transfer,Intact Male,Male
426,3 days,manx,,02/10/2013 00:00,tortie,,Transfer,Intact Female,Female
427,9 months,domestic shorthair,orange,05/07/2013 00:00,tabby,Chuy,Transfer,Neutered Male,Male
428,2 weeks,domestic shorthair,black,02/05/2014 00:00,,,Transfer,Intact Female,Female
429,2 years,domestic shorthair,orange,09/05/2012 00:00,tabby,,Transfer,Intact Female,Female
430,5 months,domestic shorthair,blue,13/07/2014 00:00,tabby,,Transfer,Intact Female,Female
431,2 months,domestic shorthair,orange,30/09/2013 00:00,tabby,*Willow,Adoption,Spayed Female,Female
432,4 years,domestic shorthair,brown,06/08/2009 00:00,tabby,Gary,Adoption,Neutered Male,Male
433,4 months,domestic shorthair,brown,22/04/2014 00:00,tabby,Isla,Adoption,Spayed Female,Female
434,4 weeks,domestic shorthair,brown,28/04/2014 00:00,tabby,,Transfer,Intact Female,Female
435,13 years,himalayan,lynx,01/07/2001 00:00,point,Sugar,Adoption,Spayed Female,Female
436,2 months,domestic shorthair,black/white,28/03/2014 00:00,,Mia,Adoption,Spayed Female,Female
437,1 year,domestic shorthair,cream,18/02/2013 00:00,tabby,,Died,Intact Female,Female
438,2 months,domestic shorthair,white/blue,08/07/2014 00:00,tabby,,Adoption,Neutered Male,Male
439,2 weeks,domestic shorthair,,16/04/2014 00:00,tortie,,Transfer,Intact Female,Female
440,7 months,domestic shorthair,black /white,22/08/2013 00:00,tabby,Siegfried,Adoption,Neutered Male,Male
441,2 months,siamese,seal,13/07/2014 00:00,point,,Adoption,Neutered Male,Male
442,2 weeks,domestic shorthair,brown,23/07/2014 00:00,tabby,,Transfer,Intact Female,Female
443,1 year,domestic shorthair,brown,30/05/2013 00:00,tabby,Lestat,Adoption,Neutered Male,Male
444,1 year,domestic shorthair,brown /white,02/07/2012 00:00,tabby,*Mason,Transfer,Neutered Male,Male
445,2 months,domestic shorthair,cream,14/04/2014 00:00,tabby,*Goose,Adoption,Neutered Male,Male
446,7 months,siamese,lynx,12/09/2013 00:00,point,Snowflake,Return to Owner,Spayed Female,Female
447,1 weeks,domestic shorthair,orange,13/07/2014 00:00,tabby,,Transfer,Unknown,Female
448,1 year,domestic mediumhair,black/white,08/09/2012 00:00,,,Transfer,Spayed Female,Female
449,5 years,domestic shorthair,orange /white,05/10/2008 00:00,tabby,,Transfer,Neutered Male,Male
450,3 weeks,domestic shorthair,orange,24/09/2014 00:00,tabby,,Transfer,Intact Male,Male
451,4 months,domestic shorthair,blue,09/03/2014 00:00,,,Transfer,Intact Female,Female
452,2 weeks,domestic shorthair,white/black,27/07/2014 00:00,,*Birch,Transfer,Unknown,Female
453,2 months,domestic shorthair,,01/09/2014 00:00,torbie,*Joannie,Transfer,Spayed Female,Female
454,1 year,domestic shorthair,black/white,06/05/2013 00:00,,,Transfer,Intact Male,Male
455,1 month,russian blue,blue,05/02/2014 00:00,,Kit Kat,Adoption,Neutered Male,Male
456,2 months,manx,blue,13/03/2014 00:00,tabby,Kovu,Adoption,Neutered Male,Male
457,2 years,domestic shorthair,brown,30/12/2011 00:00,tabby,*Kim,Transfer,Intact Female,Female
458,1 year,domestic mediumhair,orange /white,01/10/2012 00:00,tabby,Chan,Return to Owner,Neutered Male,Male
459,2 months,domestic shorthair,black,17/05/2014 00:00,,*Boogie,Adoption,Neutered Male,Male
460,2 months,domestic shorthair,blue,13/09/2013 00:00,tabby,*Mary,Adoption,Spayed Female,Female
461,1 year,domestic shorthair,blue/white,19/03/2013 00:00,,,Transfer,Intact Male,Male
462,7 years,domestic shorthair,blue,12/12/2006 00:00,tabby,Sophie,Adoption,Spayed Female,Female
463,1 month,siamese,flame,02/05/2014 00:00,point,Lark,Transfer,Intact Female,Female
464,2 months,domestic shorthair,black/white,13/04/2014 00:00,,*Wayne,Transfer,Neutered Male,Male
465,4 months,domestic shorthair,brown,11/06/2014 00:00,tabby,Tiny,Adoption,Spayed Female,Female
466,3 years,domestic shorthair,brown,14/04/2011 00:00,tabby,,Transfer,Spayed Female,Female
467,8 years,domestic mediumhair,blue/white,17/12/2006 00:00,,Anakin,Transfer,Neutered Male,Male
468,2 months,domestic shorthair,white/blue,18/05/2014 00:00,,*Elsie,Adoption,Spayed Female,Female
469,5 years,domestic longhair,blue,13/04/2009 00:00,,,Euthanasia,Neutered Male,Male
470,3 years,domestic shorthair,white,15/11/2010 00:00,,Pepper,Transfer,Neutered Male,Male
471,8 years,domestic shorthair,,14/06/2006 00:00,tortie,Pearl,Adoption,Spayed Female,Female
472,3 months,domestic shorthair,black,28/06/2013 00:00,,*Candace,Adoption,Spayed Female,Female
473,1 year,domestic longhair,brown,08/11/2013 00:00,tabby,Sylvester,Transfer,Neutered Male,Male
474,2 years,domestic shorthair,,27/02/2012 00:00,calico,,Transfer,Spayed Female,Female
475,2 years,domestic shorthair,,27/02/2012 00:00,calico,,Transfer,Spayed Female,Female
476,2 months,domestic longhair,brown,12/04/2014 00:00,tabby,,Adoption,Spayed Female,Female
477,1 year,domestic shorthair,black,21/02/2013 00:00,,*Curtis,Adoption,Neutered Male,Male
478,3 years,domestic shorthair,black,07/03/2011 00:00,,*Sebastian,Transfer,Intact Male,Male
479,3 months,domestic shorthair,brown /white,05/05/2014 00:00,tabby,,Adoption,Neutered Male,Male
480,11 months,angora,white,08/02/2013 00:00,,,Adoption,Neutered Male,Male
481,4 weeks,domestic shorthair,brown /white,05/05/2014 00:00,tabby,,Euthanasia,Intact Female,Female
482,4 months,domestic shorthair,brown,13/08/2014 00:00,tabby,,Euthanasia,Intact Female,Female
483,7 years,domestic shorthair,blue/white,08/10/2007 00:00,,,Euthanasia,Neutered Male,Male
484,3 months,domestic shorthair,,01/05/2014 00:00,torbie,*Bess,Adoption,Spayed Female,Female
485,1 year,domestic shorthair,black,30/05/2013 00:00,smoke,Morrigan,Adoption,Spayed Female,Female
486,4 years,domestic mediumhair,orange,17/01/2010 00:00,tabby,Kirby,Transfer,Neutered Male,Male
487,1 year,siamese,flame,08/07/2013 00:00,point,X,Transfer,Spayed Female,Female
488,7 months,domestic shorthair,black,01/03/2014 00:00,,Spider Man,Adoption,Neutered Male,Male
489,3 years,snowshoe,seal,18/04/2011 00:00,point,Echo,Transfer,Neutered Male,Male
490,3 weeks,domestic shorthair,orange,07/09/2014 00:00,tabby,,Transfer,Intact Male,Male
491,2 years,domestic shorthair,,20/10/2012 00:00,calico,Cassie,Transfer,Spayed Female,Female
492,3 months,domestic shorthair,brown /white,23/03/2014 00:00,tabby,,Transfer,Intact Male,Male
493,2 months,himalayan,flame,04/11/2013 00:00,point,*Sophia,Adoption,Spayed Female,Female
494,3 months,domestic longhair,,26/02/2014 00:00,calico,Arya,Adoption,Spayed Female,Female
495,1 month,domestic shorthair,white,02/06/2014 00:00,,,Adoption,Neutered Male,Male
496,10 years,domestic longhair,black,11/05/2004 00:00,,*Meg,Euthanasia,Spayed Female,Female
497,2 weeks,domestic shorthair,orange,13/09/2014 00:00,tabby,,Transfer,Intact Female,Female
498,2 months,domestic shorthair,brown /white,23/01/2014 00:00,tabby,,Adoption,Neutered Male,Male
499,4 weeks,domestic shorthair,brown /white,09/09/2013 00:00,tabby,,Transfer,Intact Female,Female
500,6 years,siamese,flame,23/08/2008 00:00,point,Phillis,Return to Owner,Spayed Female,Female
501,3 years,domestic shorthair,black/white,04/12/2010 00:00,,*Wilson,Adoption,Neutered Male,Male
502,2 years,domestic shorthair,blue /white,09/02/2012 00:00,tabby,*Bubba,Transfer,Neutered Male,Male
503,2 months,domestic shorthair,brown,18/06/2014 00:00,tabby,*Luke,Adoption,Neutered Male,Male
504,1 year,domestic shorthair,brown /white,30/05/2013 00:00,tabby,,Transfer,Intact Male,Male
505,5 months,domestic shorthair,orange,13/07/2013 00:00,tabby,*Piglet,Transfer,Intact Male,Male
506,3 years,domestic shorthair,orange,09/03/2011 00:00,tabby,Monkey,Adoption,Neutered Male,Male
507,2 weeks,domestic shorthair,brown,10/10/2014 00:00,tabby,,Transfer,Intact Male,Male
508,2 months,domestic shorthair,black/white,20/10/2013 00:00,,*Amy,Transfer,Intact Female,Female
509,2 months,domestic mediumhair,white/brown,23/04/2014 00:00,tabby,*Patches,Adoption,Neutered Male,Male
510,8 years,siamese,lynx,03/04/2006 00:00,point,Snowball,Euthanasia,Spayed Female,Female
511,4 months,domestic shorthair,brown /white,16/06/2013 00:00,tabby,*Johnny,Transfer,Neutered Male,Male
512,3 weeks,domestic shorthair,brown,07/07/2014 00:00,tabby,,Transfer,Intact Female,Female
513,2 months,domestic shorthair,black,05/05/2014 00:00,,*Midnight,Adoption,Neutered Male,Male
514,2 months,domestic shorthair,blue,05/05/2014 00:00,,,Adoption,Neutered Male,Male
515,3 years,domestic mediumhair,brown,09/07/2011 00:00,tabby,,Transfer,Intact Female,Female
516,5 months,domestic shorthair,orange,28/04/2013 00:00,tabby,*Chartreuse,Adoption,Neutered Male,Male
517,2 weeks,domestic shorthair,black,30/03/2014 00:00,,,Transfer,Intact Male,Male
518,14 years,domestic longhair,white,13/06/2000 00:00,,Angel,Euthanasia,Neutered Male,Male
519,2 months,domestic shorthair,black/white,02/10/2013 00:00,,Jack,Adoption,Neutered Male,Male
520,2 weeks,domestic shorthair,white/brown,17/03/2014 00:00,,,Transfer,Unknown,Female
521,2 months,domestic shorthair,,15/07/2014 00:00,torbie,,Adoption,Spayed Female,Female
522,2 months,russian blue,blue,20/11/2013 00:00,,Storm,Adoption,Intact Male,Male
523,2 months,domestic mediumhair,black,18/04/2014 00:00,,*Peter,Transfer,Intact Male,Male
524,3 weeks,domestic shorthair,,19/08/2014 00:00,calico,,Transfer,Intact Female,Female
525,2 months,domestic shorthair,black,18/08/2013 00:00,smoke,Chloe,Adoption,Spayed Female,Female
526,2 weeks,domestic shorthair,blue/white,27/05/2014 00:00,,,Transfer,Unknown,Female
527,2 months,domestic shorthair,,29/03/2014 00:00,calico,Claire,Adoption,Spayed Female,Female
528,7 years,domestic shorthair,,08/10/2006 00:00,calico,,Euthanasia,Intact Female,Female
529,10 months,domestic longhair,brown /white,30/12/2013 00:00,tabby,,Transfer,Intact Female,Female
530,1 year,domestic shorthair,orange,08/07/2013 00:00,tabby,X,Transfer,Neutered Male,Male
531,4 years,domestic shorthair,cream,13/07/2010 00:00,tabby,,Euthanasia,Intact Male,Male
532,5 months,domestic shorthair,black,19/03/2014 00:00,,*Jynx,Adoption,Spayed Female,Female
533,3 years,domestic shorthair,brown /white,21/08/2010 00:00,tabby,George,Transfer,Neutered Male,Male
534,3 weeks,domestic shorthair,blue,18/04/2014 00:00,,,Transfer,Intact Female,Female
535,4 weeks,domestic longhair,black,14/05/2014 00:00,,,Transfer,Intact Male,Male
536,4 days,domestic shorthair,blue,28/06/2014 00:00,tabby,,Transfer,Intact Female,Female
537,4 days,domestic shorthair,orange,19/04/2014 00:00,tabby,,Transfer,Intact Male,Male
538,2 months,domestic shorthair,,26/07/2014 00:00,tortie,Rose,Adoption,Spayed Female,Female
539,3 months,domestic shorthair,brown /white,16/07/2013 00:00,tabby,*Lil Sister,Adoption,Spayed Female,Female
540,1 week,domestic shorthair,black/white,13/06/2014 00:00,,,Transfer,Unknown,Female
541,2 months,domestic shorthair,cream /white,27/08/2014 00:00,tabby,,Adoption,Neutered Male,Male
542,3 months,domestic shorthair,black,16/07/2013 00:00,tabby,,Transfer,Neutered Male,Male
543,2 months,domestic shorthair,blue,26/08/2013 00:00,,*Harmony,Adoption,Spayed Female,Female
544,2 months,domestic shorthair,/white,18/09/2014 00:00,torbie,*Sally,Adoption,Intact Female,Female
545,1 year,domestic shorthair,blue,22/05/2013 00:00,,,Transfer,Unknown,Female
546,1 year,domestic shorthair,blue/white,17/06/2013 00:00,,,Transfer,Intact Male,Male
547,3 months,domestic shorthair,,22/04/2014 00:00,calico,Smokey,Return to Owner,Spayed Female,Female
548,1 year,domestic mediumhair,black/white,20/06/2013 00:00,,Dinah,Return to Owner,Spayed Female,Female
549,3 years,domestic shorthair,,24/05/2011 00:00,calico,Luna,Transfer,Spayed Female,Female
550,2 months,domestic shorthair,blue/white,22/06/2014 00:00,,*Pietro,Adoption,Neutered Male,Male
551,10 years,domestic shorthair,orange,15/12/2003 00:00,tabby,Chester,Return to Owner,Neutered Male,Male
552,1 month,siamese,seal,12/06/2014 00:00,point,Chloe,Transfer,Intact Female,Female
553,2 years,domestic shorthair,orange,27/12/2011 00:00,tabby,*Morris,Transfer,Neutered Male,Male
554,2 years,domestic shorthair,,19/10/2011 00:00,calico,,Transfer,Intact Female,Female
555,1 year,domestic shorthair,white,30/06/2013 00:00,,Izabella,Adoption,Spayed Female,Female
556,2 months,domestic shorthair,orange /white,24/05/2014 00:00,tabby,Brody,Adoption,Neutered Male,Male
557,10 months,domestic shorthair,brown /white,09/03/2013 00:00,tabby,Mint,Adoption,Spayed Female,Female
558,3 years,domestic shorthair,blue,30/04/2011 00:00,tabby,*Leon,Adoption,Neutered Male,Male
559,6 days,domestic shorthair,orange,23/04/2014 00:00,tabby,,Transfer,Intact Male,Male
560,2 months,domestic longhair,black,21/04/2014 00:00,,,Transfer,Intact Female,Female
561,7 years,domestic longhair,white/black,30/08/2006 00:00,,Luno,Adoption,Neutered Male,Male
562,9 months,domestic shorthair,white,25/05/2013 00:00,,*White Snake,Adoption,Spayed Female,Female
563,6 days,siamese,white/lynx,06/07/2014 00:00,point,,Transfer,Intact Female,Female
564,1 month,domestic shorthair,blue,20/05/2014 00:00,tabby,Carrie,Transfer,Intact Female,Female
565,2 months,domestic shorthair,brown,19/04/2014 00:00,tabby,*Bill,Adoption,Neutered Male,Male
566,2 years,domestic shorthair,blue/white,17/06/2012 00:00,,,Transfer,Intact Female,Female
567,2 months,domestic mediumhair,orange,25/04/2014 00:00,tabby,Charlie,Adoption,Neutered Male,Male
